Verify,Finalize,Follow-Up,Session Date,Moved From Facility,Spawning Location,Spawning Location Is Offsite,Spawning Offsite Owner Facility,Spawning Offsite Location Latitude,Spawning Offsite Location Longitude,Spawning Offsite Location Description,Spawning Session Name,Is Import,Is Group Session,Import Custom,Spawning Session Lot #,Cross ID,Spawn ID,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Spawning Ratio,Stock,Stock Agency,Stock Facility,Stock Description,Session Progeny,Brood Year,Spawning Session Comments,Species,Run,Egg Weight(g),Estimated Egg Count,Edit Spawn Cross Notes,Immediate Container,Times Used,Length,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria End Date,Age Criteria Start Date,Age Designation,Spawn Status,Living State,Why Not Spawned,Moved From,Moved From Is Offsite,Offsite Moved From Owner Facility,Offsite Moved From Latitude,Offsite Moved From Longitude,Offsite Moved From Location Description,Source Trap Facility,Source Trap,Moved To,Moved To Is Offsite,Offsite Moved To Owner Facility,Offsite Moved To Latitude,Offsite Moved To Longitude,Offsite Moved To Location Description,Moved To Facility,Release Site,Release Site Latitude,Release Site Longitude,Disposition,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,GEN Sample,Samples,Conditions,Notes
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F30_Lookingglass Egg Room/Tray331,M37,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray331,unknown,489,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_839,SNOUT 20R0732,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F31_Lookingglass Egg Room/Tray332,M37,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray332,unknown,489,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_839,SNOUT 20R0732,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F18_Lookingglass Egg Room/Tray319,M24,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray319,unknown,590,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_821,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F19_Lookingglass Egg Room/Tray320,M24,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray320,unknown,590,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_821,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F27_Lookingglass Egg Room/Tray328,F27,Female,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray328,1,780,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_845,SNOUT 20R0738,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F22_Lookingglass Egg Room/Tray323,F22,Female,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray323,1,922,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_840,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F29_Lookingglass Egg Room/Tray330,F29,Female,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray330,1,695,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_847,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F16_Lookingglass Egg Room/Tray317,M22,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray317,unknown,840,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_819,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F17_Lookingglass Egg Room/Tray318,M22,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray318,unknown,840,FALSE,NA,NA,NA,NA,NA,SpawnedKilled,Killed,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,Landfill,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Disposed,General Disposal,AD,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN OtsLOOK20S_819,NA,NA,NA
FALSE,FALSE,FALSE,8/26/2020 8:00:00 AM,Lookingglass Fish Hatchery,LGH Spawning Room,FALSE,NA,NA,NA,NA,"8/26/2020 LGH Spawning Room (Lot #81.20.308), 8:00 AM",FALSE,FALSE,NA,81.20.308,F26_Lookingglass Egg Room/Tray327,M33,Male,Uncategorized,NA,NA,NA,NA,NA,NA,1 : 2,Lookingglass Creek (81H),ODFW,NA,NA,Integrated,BY 2020,NA,Chinook,Spring,NA,3790,NA,Lookingglass Egg Room/Tray327,unknown,NA,FALSE,NA,NA,NA,NA,NA,SpawnedNotKilled,Alive,NA,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Unknown,Other,LGH Lookingglass Broodstock Holding,FALSE,NA,NA,NA,NA,Lookingglass Fish Hatchery,NA,NA,NA,Ponded,Brood Stock,UNC,1,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
